season_start_year,first_snow_date
1965,1965-10-07
1966,1966-10-20
1967,1967-09-28
1968,1968-10-13
1969,1969-10-05
1970,1970-11-08
1971,1971-10-18
1972,1972-10-08
1973,1973-11-01
1974,1974-11-16
1975,1975-11-12
1976,1976-09-29
1977,1977-09-28
1978,1978-10-23
1979,1979-10-30
1980,1980-10-26
1981,1981-10-16
1982,1982-10-03
1983,1983-10-28
1984,1984-10-05
1985,1985-10-19
1986,1986-10-25
1987,1987-10-12
1988,1988-09-30
1989,1989-11-08
1990,1990-10-25
1991,1991-09-13
1992,1992-10-07
1993,1993-11-09
1994,1994-10-19
1995,1995-10-14
1996,1996-11-16
1997,1997-11-02
1998,1998-11-06
1999,1999-10-22
2000,2000-10-19
2001,2001-09-22
2002,2002-11-02
2003,2003-09-28
2004,2004-10-25
2005,2005-11-21
2006,2006-10-17
2007,2007-10-11
2008,2008-10-16
2009,2009-10-30
2010,2010-10-13
2011,2011-10-11
2012,2012-10-13
2013,2013-10-12
2014,2014-10-29
2015,2015-10-27
2016,2016-10-04
2017,2017-10-16
2018,2018-10-17
2019,2019-10-14
2020,2020-10-05
2021,2021-09-28
2022,2022-10-09
2023,2023-11-02
2024,2024-10-04
