time_s,frequency_Hz
0.00,749.47
0.02,753.25
0.04,754.57
0.06,751.09
0.08,755.96
0.10,753.61
0.12,753.79
0.14,753.21
0.16,752.67
0.18,752.07
0.20,751.65
0.22,750.68
0.24,751.06
0.26,751.76
0.28,751.66
0.30,750.03
0.32,754.73
0.34,751.31
0.36,755.56
0.38,752.48
0.40,751.99
0.42,752.91
0.44,747.86
0.46,754.11
0.48,752.69
0.50,752.68
0.52,750.98
0.54,753.14
0.56,750.85
0.58,749.87
0.60,750.19
0.62,750.75
0.64,752.05
0.66,750.80
0.68,752.53
0.70,752.28
0.72,752.06
0.74,750.35
0.76,749.57
0.78,751.23
0.80,753.66
0.82,752.71
0.84,751.34
0.86,752.11
0.88,750.41
0.90,751.01
0.92,751.24
0.94,751.93
0.96,750.15
0.98,750.48
1.00,750.66
1.02,751.64
1.04,751.48
1.06,748.46
1.08,751.95
1.10,752.24
1.12,751.39
1.14,748.16
1.16,751.63
1.18,751.62
1.20,752.25
1.22,749.76
1.24,750.31
1.26,748.23
1.28,749.44
1.30,750.26
1.32,749.49
1.34,750.75
1.36,747.38
1.38,751.09
1.40,751.28
1.42,747.97
1.44,749.31
1.46,747.16
1.48,750.12
1.50,749.91
1.52,749.83
1.54,747.14
1.56,749.62
1.58,749.95
1.60,749.11
1.62,748.24
1.64,746.20
1.66,748.50
1.68,747.53
1.70,750.57
1.72,747.15
1.74,748.10
1.76,749.00
1.78,748.96
1.80,746.20
1.82,747.07
1.84,746.93
1.86,750.88
1.88,745.58
1.90,748.05
1.92,748.12
1.94,746.81
1.96,746.65
1.98,747.36
2.00,745.48
2.02,747.75
2.04,746.66
2.06,747.36
2.08,742.60
2.10,749.34
2.12,744.81
2.14,746.72
2.16,745.81
2.18,744.64
2.20,745.94
2.22,743.86
2.24,746.45
2.26,745.82
2.28,743.01
2.30,744.80
2.32,745.48
2.34,744.09
2.36,743.08
2.38,742.73
2.40,747.10
2.42,745.49
2.44,740.61
2.46,743.58
2.48,740.45
2.50,742.15
2.52,741.97
2.54,739.93
2.56,741.37
2.58,738.69
2.60,740.77
2.62,741.27
2.64,742.55
2.66,741.96
2.68,741.78
2.70,736.98
2.72,738.87
2.74,740.00
2.76,737.39
2.78,739.56
2.80,734.99
2.82,738.26
2.84,738.16
2.86,733.99
2.88,735.75
2.90,733.99
2.92,736.47
2.94,736.38
2.96,732.95
2.98,734.02
3.00,732.09
3.02,734.87
3.04,732.77
3.06,735.10
3.08,729.10
3.10,730.73
3.12,732.59
3.14,730.27
3.16,731.86
3.18,731.18
3.20,730.05
3.22,728.30
3.24,725.92
3.26,726.86
3.28,729.20
3.30,728.14
3.32,727.93
3.34,725.08
3.36,725.38
3.38,723.20
3.40,722.22
3.42,724.78
3.44,720.36
3.46,721.78
3.48,719.98
3.50,718.53
3.52,716.81
3.54,718.38
3.56,718.84
3.58,718.37
3.60,716.63
3.62,715.09
3.64,713.28
3.66,716.52
3.68,710.43
3.70,714.25
3.72,708.88
3.74,709.44
3.76,709.57
3.78,708.71
3.80,709.40
3.82,708.09
3.84,706.25
3.86,706.07
3.88,701.13
3.90,701.48
3.92,701.85
3.94,702.68
3.96,700.61
3.98,700.70
4.00,702.13
4.02,701.28
4.04,696.43
4.06,698.96
4.08,696.79
4.10,695.32
4.12,695.92
4.14,693.74
4.16,691.99
4.18,693.23
4.20,693.72
4.22,691.82
4.24,693.38
4.26,690.65
4.28,689.89
4.30,689.52
4.32,686.83
4.34,685.81
4.36,683.47
4.38,683.54
4.40,685.21
4.42,684.91
4.44,683.20
4.46,682.54
4.48,682.22
4.50,681.35
4.52,680.41
4.54,679.33
4.56,679.60
4.58,678.84
4.60,677.42
4.62,677.45
4.64,678.32
4.66,674.92
4.68,675.57
4.70,676.61
4.72,674.80
4.74,673.36
4.76,675.96
4.78,674.39
4.80,673.52
4.82,671.22
4.84,670.58
4.86,671.13
4.88,672.95
4.90,671.47
4.92,671.03
4.94,666.76
4.96,668.87
4.98,670.47
5.00,668.28
5.02,668.01
5.04,668.08
5.06,666.66
5.08,667.90
5.10,666.80
5.12,666.22
5.14,666.60
5.16,664.77
5.18,665.46
5.20,665.83
5.22,662.85
5.24,665.84
5.26,665.16
5.28,664.64
5.30,666.48
5.32,664.29
5.34,664.99
5.36,665.63
5.38,665.14
5.40,660.54
5.42,663.10
5.44,663.86
5.46,663.59
5.48,662.99
5.50,665.42
5.52,664.84
5.54,660.58
5.56,662.30
5.58,663.55
5.60,662.26
5.62,661.63
5.64,660.92
5.66,660.59
5.68,660.38
5.70,660.46
5.72,659.63
5.74,659.39
5.76,659.62
5.78,663.56
5.80,662.25
5.82,661.26
5.84,659.90
5.86,661.90
5.88,661.65
5.90,661.20
5.92,658.61
5.94,659.48
5.96,660.10
5.98,658.11
6.00,658.89
6.02,657.95
6.04,658.54
6.06,660.06
6.08,659.77
6.10,658.89
6.12,657.24
6.14,659.04
6.16,655.45
6.18,660.77
6.20,655.96
6.22,654.65
6.24,659.44
6.26,657.07
6.28,656.50
6.30,655.23
6.32,658.24
6.34,659.62
6.36,655.93
6.38,656.85
6.40,658.19
6.42,659.23
6.44,657.11
6.46,656.25
6.48,657.60
6.50,656.55
6.52,656.96
6.54,657.74
6.56,656.63
6.58,656.75
6.60,655.09
6.62,657.50
6.64,656.05
6.66,659.01
6.68,655.33
6.70,658.66
6.72,659.53
6.74,657.95
6.76,655.52
6.78,655.34
6.80,652.80
6.82,655.06
6.84,655.78
6.86,658.97
6.88,656.26
6.90,657.05
6.92,655.71
6.94,655.98
6.96,656.92
6.98,657.83
7.00,653.89
7.02,658.48
7.04,654.71
7.06,656.06
7.08,654.94
7.10,654.83
7.12,653.67
7.14,654.82
7.16,655.02
7.18,654.45
7.20,655.76
7.22,653.05
7.24,657.21
7.26,654.47
7.28,654.69
7.30,656.30
7.32,654.95
7.34,654.26
7.36,656.17
7.38,656.47
7.40,655.53
7.42,655.28
7.44,653.76
7.46,653.72
7.48,659.71
7.50,655.19
7.52,653.91
7.54,654.62
7.56,654.65
7.58,652.70
7.60,654.26
7.62,655.63
7.64,658.28
7.66,652.11
7.68,654.20
7.70,653.81
7.72,659.04
7.74,654.11
7.76,653.61
7.78,653.68
7.80,655.70
7.82,653.81
7.84,654.77
7.86,653.93
7.88,652.87
7.90,654.36
7.92,652.12
7.94,651.52
7.96,652.55
7.98,653.61
8.00,654.59
