x_km,y_km,month,wind_ms
0,0,1,8.55
1,0,1,8.4
2,0,1,8.66
3,0,1,7.77
4,0,1,8.78
5,0,1,6.71
6,0,1,9.03
7,0,1,8.16
8,0,1,6.16
9,0,1,7.55
10,0,1,8.72
11,0,1,8.76
12,0,1,7.58
13,0,1,8.61
14,0,1,8.65
15,0,1,8.72
16,0,1,6.29
17,0,1,9.31
18,0,1,7.45
19,0,1,10.18
20,0,1,9.37
21,0,1,8.24
22,0,1,9.89
23,0,1,9.75
24,0,1,9.78
25,0,1,8.32
26,0,1,6.92
27,0,1,7.61
28,0,1,10.02
29,0,1,7.64
30,0,1,10.33
31,0,1,8.57
32,0,1,9.22
33,0,1,9.69
34,0,1,9.69
35,0,1,8.3
36,0,1,8.81
37,0,1,8.24
38,0,1,7.19
39,0,1,9.23
40,0,1,9.93
41,0,1,8.82
42,0,1,8.93
43,0,1,8.16
44,0,1,6.76
45,0,1,9.46
46,0,1,7.26
47,0,1,7.88
48,0,1,6.3
49,0,1,9.33
50,0,1,7.51
51,0,1,7.21
52,0,1,5.75
53,0,1,8.76
54,0,1,8.73
55,0,1,7.57
56,0,1,7.32
57,0,1,7.31
58,0,1,7.54
59,0,1,8.29
60,0,1,7.85
61,0,1,6.19
62,0,1,7.25
63,0,1,7.84
64,0,1,6.72
65,0,1,5.18
66,0,1,6.69
67,0,1,5.77
68,0,1,5.42
69,0,1,9.37
70,0,1,7.39
71,0,1,5.64
72,0,1,6.12
73,0,1,4.81
74,0,1,6.63
75,0,1,7.73
76,0,1,7.26
77,0,1,7.24
78,0,1,7.67
79,0,1,7.86
80,0,1,8.53
81,0,1,7.03
82,0,1,8.66
83,0,1,8.03
84,0,1,7.21
85,0,1,5.39
86,0,1,7.78
87,0,1,8.09
88,0,1,8.14
89,0,1,5.59
90,0,1,5.82
91,0,1,6.11
92,0,1,7.9
93,0,1,8.54
94,0,1,5.35
95,0,1,7.72
96,0,1,7.83
97,0,1,6.49
98,0,1,7.85
99,0,1,7.28
0,1,1,5.78
1,1,1,8.85
2,1,1,7.04
3,1,1,7.55
4,1,1,8.78
5,1,1,7.03
6,1,1,8.47
7,1,1,8.31
8,1,1,7.96
9,1,1,9.87
10,1,1,7.37
11,1,1,7.79
12,1,1,8.53
13,1,1,8.06
14,1,1,7.58
15,1,1,9.54
16,1,1,9.56
17,1,1,8.03
18,1,1,9.13
19,1,1,8.38
20,1,1,10.06
21,1,1,8.0
22,1,1,6.22
23,1,1,8.16
24,1,1,8.78
25,1,1,9.13
26,1,1,7.28
27,1,1,8.7
28,1,1,8.57
29,1,1,9.62
30,1,1,9.88
31,1,1,8.56
32,1,1,7.47
33,1,1,8.56
34,1,1,8.57
35,1,1,9.75
36,1,1,7.75
37,1,1,7.69
38,1,1,9.51
39,1,1,7.54
40,1,1,8.84
41,1,1,8.43
42,1,1,9.24
43,1,1,7.12
44,1,1,6.99
45,1,1,8.59
46,1,1,4.63
47,1,1,8.89
48,1,1,7.17
49,1,1,9.33
50,1,1,8.44
51,1,1,8.7
52,1,1,8.87
53,1,1,8.26
54,1,1,6.6
55,1,1,8.76
56,1,1,7.02
57,1,1,8.61
58,1,1,7.29
59,1,1,9.45
60,1,1,6.34
61,1,1,8.43
62,1,1,8.48
63,1,1,8.72
64,1,1,8.39
65,1,1,7.88
66,1,1,7.76
67,1,1,8.18
68,1,1,6.78
69,1,1,8.16
70,1,1,7.36
71,1,1,7.65
72,1,1,8.06
73,1,1,7.19
74,1,1,6.5
75,1,1,4.92
76,1,1,6.18
77,1,1,5.98
78,1,1,6.4
79,1,1,6.86
80,1,1,7.54
81,1,1,8.6
82,1,1,7.41
83,1,1,7.07
84,1,1,8.18
85,1,1,6.71
86,1,1,6.08
87,1,1,7.74
88,1,1,7.1
89,1,1,7.51
90,1,1,8.16
91,1,1,4.66
92,1,1,6.55
93,1,1,7.43
94,1,1,9.19
95,1,1,6.15
96,1,1,6.43
97,1,1,6.53
98,1,1,8.06
99,1,1,7.24
0,2,1,6.64
1,2,1,7.93
2,2,1,7.31
3,2,1,9.23
4,2,1,8.54
5,2,1,8.84
6,2,1,8.41
7,2,1,8.16
8,2,1,9.44
9,2,1,7.76
10,2,1,7.44
11,2,1,6.81
12,2,1,8.67
13,2,1,7.03
14,2,1,9.39
15,2,1,11.13
